level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,1694,2358,-1,
2,1,1,0,0,0,184,37,1314,120,-1,
3,1,1,1,0,0,184,41,1314,112,-1,
4,1,1,1,1,0,833,42,600,21,-1,
5,1,1,1,1,1,833,57,3,4,9,:
5,1,1,1,1,2,1324,57,3,4,73,R
5,1,1,1,1,3,1409,42,24,21,87,2
4,1,1,1,2,0,184,37,1314,58,-1,
5,1,1,1,2,1,184,63,104,24,96,VVADQ
5,1,1,1,2,2,307,68,112,20,89,orqanının
5,1,1,1,2,3,440,66,74,22,96,ştampı
5,1,1,1,2,4,808,62,100,22,91,NİKAH
5,1,1,1,2,5,928,62,166,33,96,HAQQINDA
5,1,1,1,2,6,1115,62,76,22,95,AKTIN
5,1,1,1,2,7,1234,62,96,26,50,QEYDİ
5,1,1,1,2,8,1352,61,25,22,58,No
5,1,1,1,2,9,1408,37,90,55,51,7/£?3
4,1,1,1,3,0,938,81,436,76,-1,
5,1,1,1,3,1,938,89,88,38,27,"""al"
5,1,1,1,3,2,1054,81,98,76,26,"Oldu,"
5,1,1,1,3,3,1270,106,47,23,96,200
5,1,1,1,3,4,1330,92,44,36,46,Şa
2,1,2,0,0,0,1048,152,214,29,-1,
3,1,2,1,0,0,1048,152,214,29,-1,
4,1,2,1,1,0,1048,152,214,29,-1,
5,1,2,1,1,1,1048,152,102,27,96,(Birinci
5,1,2,1,1,2,1173,154,89,27,96,nüsxə)
2,1,3,0,0,0,348,119,189,109,-1,
3,1,3,1,0,0,348,119,189,109,-1,
4,1,3,1,1,0,348,119,186,36,-1,
5,1,3,1,1,1,348,145,6,5,88,I
5,1,3,1,1,2,380,119,154,36,68,ŞƏHƏRİ.
4,1,3,1,2,0,372,167,158,25,-1,
5,1,3,1,2,1,372,167,26,20,96,Dİ
5,1,3,1,2,2,424,167,106,25,96,RAYON
4,1,3,1,3,0,397,197,140,31,-1,
5,1,3,1,3,1,397,200,16,21,93,T
5,1,3,1,3,2,429,197,108,31,96,ŞÖBƏSİ
2,1,4,0,0,0,687,253,399,32,-1,
3,1,4,1,0,0,687,253,399,32,-1,
4,1,4,1,1,0,687,253,399,32,-1,
5,1,4,1,1,1,687,253,137,22,93,Evlənənlər
5,1,4,1,1,2,843,253,117,32,96,haqqında
5,1,4,1,1,3,978,253,108,22,96,məlumat
2,1,5,0,0,0,174,282,1286,168,-1,
3,1,5,1,0,0,174,282,1285,168,-1,
4,1,5,1,1,0,417,282,1008,52,-1,
5,1,5,1,1,1,417,282,17,2,29,ҹ
5,1,5,1,1,2,694,294,180,40,35,“a.
5,1,5,1,1,3,1114,282,22,18,57,m
5,1,5,1,1,4,1350,293,75,26,97,Qadın
4,1,5,1,2,0,174,322,1267,44,-1,
5,1,5,1,2,1,174,339,20,26,96,1.
5,1,5,1,2,2,216,337,87,28,91,Soyadı:
5,1,5,1,2,3,324,336,150,21,91,evlənənədək
5,1,5,1,2,4,629,322,26,38,79,kə
5,1,5,1,2,5,703,332,104,30,4,iə
5,1,5,1,2,6,819,327,103,39,43,TOL
5,1,5,1,2,7,1188,330,103,29,45,(2-1
5,1,5,1,2,8,1301,335,15,25,68,"(,"
5,1,5,1,2,9,1403,332,38,34,88,(А
4,1,5,1,3,0,245,363,1215,87,-1,
5,1,5,1,3,1,245,379,137,22,96,evlənəndən
5,1,5,1,3,2,402,384,60,16,97,sonra
5,1,5,1,3,3,616,369,33,45,68,5
5,1,5,1,3,4,664,369,33,38,18,üz
5,1,5,1,3,5,720,375,24,32,0,Ci
5,1,5,1,3,6,768,370,164,38,61,ou”
5,1,5,1,3,7,1118,384,39,66,75,/
5,1,5,1,3,8,1173,371,113,34,47,"2222,"
5,1,5,1,3,9,1364,363,96,50,0,1//к—
2,1,6,0,0,0,190,403,1209,129,-1,
3,1,6,1,0,0,190,403,1209,129,-1,
4,1,6,1,1,0,190,403,1209,55,-1,
5,1,6,1,1,1,190,422,66,21,39,”
5,1,6,1,1,2,420,446,15,2,36,k
5,1,6,1,1,3,631,403,120,55,67,42441
5,1,6,1,1,4,764,403,42,55,72,/2
5,1,6,1,1,5,1207,410,192,38,0,1/01/0.42.
